ID_Produto,Nome_Produto,Categoria,Preço
1,Lenco Estampado,Acessórios,119.97
2,Bolsa Floral,Acessórios,290.44
3,Calca Pantalona Estampada,Calças,125.45
4,Camiseta Estampada,Blusas,217.84
5,Brinco Flores,Acessórios,271.05
6,Vestido Midi Floral,Vestidos,139.15
7,Calca Lapis Floral,Calças,259.5
8,Vestido Longo Estampado,Vestidos,167.1
9,Calca Cigarrte Estampada,Calças,263.7
10,Colar Assimetrico,Acessórios,222.22
11,Cinto Marrom,Acessórios,59.94
12,Calca Cargo,Calças,180.5
13,Saia Midi Floral,Saias,183.51
14,Cinto Preto,Acessórios,291.87
15,Lenco Liso,Acessórios,278.6
16,Calca Jeans,Calças,70.02
17,Calca Reta,Calças,217.63
18,Vestido Frente Unica,Vestidos,162.59
19,Saia Longa,Saias,83.32
20,Saia Curta,Saias,103.17
